task_id_key,pred_type,task_code,remaining_duration,TaskCodeAndName,predecessor_task_code,Successor_Level_2,Predecessor_Level_2,Link_Type,WBS_Link_Direction,CriticalLink,Is Driving Predecessor,Type Validity,early_start_date,early_end_date,predecessor_status_code,task_type,predecessor_task_type,lag,start,finish,predecessor_start,predecessor_finish,free_float,pred_task_id_key,status_code,total_float,task_pred_id_key,PredTaskCodeAndName,predecessor_Total Float,predecessor_name
C4068-C-2603_20260325.xer.128711348,PR_FS,623570,0,623570 - Abutment A - Diaphragm,A3800,Construction,Claims for Extension of Time,Cross-WBS Link,Claims for Extension of Time ? Construction,,Not Driving,Valid,25/03/2026,25/03/2026,TK_Complete,TT_Task,TT_Task,0,25-Mar-26,25-Mar-26,25-Mar-26,25-Mar-26,,C4068-C-2603_20260325.xer.128711476,TK_Complete,,C4068-C-2603_20260325.xer.226242322,A3800 - Removal & Reinstallation for Diaphragm Reinforcement Day#2,,Removal & Reinstallation for Diaphragm Reinforcement Day#2
C4068-C-2603_20260325.xer.128711347,PR_FS,623580,0,623580 - Abutment B - Diaphragm,A3800,Construction,Claims for Extension of Time,Cross-WBS Link,Claims for Extension of Time ? Construction,,Not Driving,Valid,25/03/2026,25/03/2026,TK_Complete,TT_Task,TT_Task,0,25-Mar-26,25-Mar-26,25-Mar-26,25-Mar-26,,C4068-C-2603_20260325.xer.128711476,TK_Complete,,C4068-C-2603_20260325.xer.226242321,A3800 - Removal & Reinstallation for Diaphragm Reinforcement Day#2,,Removal & Reinstallation for Diaphragm Reinforcement Day#2
C4068-C-2603_20260325.xer.128711476,PR_FS,A3800,0,A3800 - Removal & Reinstallation for Diaphragm Reinforcement Day#2,A3790,Claims for Extension of Time,Claims for Extension of Time,Internal Link,Claims for Extension of Time ? Claims for Extension of Time,,Not Driving,Valid,25/03/2026,25/03/2026,TK_Complete,TT_Task,TT_Task,0,25-Mar-26,25-Mar-26,25-Mar-26,25-Mar-26,,C4068-C-2603_20260325.xer.128711475,TK_Complete,,C4068-C-2603_20260325.xer.226242320,A3790 - Removal & Reinstallation for Diaphragm Reinforcement Day#1,,Removal & Reinstallation for Diaphragm Reinforcement Day#1
C4068-C-2603_20260325.xer.128711475,PR_FS,A3790,0,A3790 - Removal & Reinstallation for Diaphragm Reinforcement Day#1,623225,Claims for Extension of Time,Construction,Cross-WBS Link,Construction ? Claims for Extension of Time,,Not Driving,Valid,25/03/2026,25/03/2026,TK_Complete,TT_Task,TT_Task,0,25-Mar-26,25-Mar-26,25-Mar-26,25-Mar-26,,C4068-C-2603_20260325.xer.128711333,TK_Complete,,C4068-C-2603_20260325.xer.226242319,623225 - Construct Mortar Pads and Install Bearings - Abut A,,Construct Mortar Pads and Install Bearings - Abut A
C4068-C-2603_20260325.xer.128711475,PR_FS,A3790,0,A3790 - Removal & Reinstallation for Diaphragm Reinforcement Day#1,623325,Claims for Extension of Time,Construction,Cross-WBS Link,Construction ? Claims for Extension of Time,,Not Driving,Valid,25/03/2026,25/03/2026,TK_Complete,TT_Task,TT_Task,0,25-Mar-26,25-Mar-26,25-Mar-26,25-Mar-26,,C4068-C-2603_20260325.xer.128711342,TK_Complete,,C4068-C-2603_20260325.xer.226242318,623325 - Construct Mortar Pads and Install Bearings - Abut B,,Construct Mortar Pads and Install Bearings - Abut B
C4068-C-2603_20260325.xer.128711467,PR_FS,A3750,0,A3750 - Rain Event (19 March 2026),A3740,Claims for Extension of Time,Claims for Extension of Time,Internal Link,Claims for Extension of Time ? Claims for Extension of Time,,Not Driving,Valid,25/03/2026,25/03/2026,TK_Complete,TT_Task,TT_Task,0,25-Mar-26,25-Mar-26,25-Mar-26,25-Mar-26,,C4068-C-2603_20260325.xer.128711466,TK_Complete,,C4068-C-2603_20260325.xer.226242303,A3740 - Rain Event (9&10 March 2026),,Rain Event (9&10 March 2026)
C4068-C-2603_20260325.xer.128711466,PR_FS,A3740,0,A3740 - Rain Event (9&10 March 2026),A3730,Claims for Extension of Time,Claims for Extension of Time,Internal Link,Claims for Extension of Time ? Claims for Extension of Time,,Not Driving,Valid,25/03/2026,25/03/2026,TK_Complete,TT_Task,TT_Task,0,25-Mar-26,25-Mar-26,25-Mar-26,25-Mar-26,,C4068-C-2603_20260325.xer.128711465,TK_Complete,,C4068-C-2603_20260325.xer.226242302,A3730 - Rain Event (19 January 2026),,Rain Event (19 January 2026)
C4068-C-2603_20260325.xer.128711274,PR_FS,622050,0,622050 - UZF Conformance - Fill 2,A3730,Construction,Claims for Extension of Time,Cross-WBS Link,Claims for Extension of Time ? Construction,,Not Driving,Valid,25/03/2026,25/03/2026,TK_Complete,TT_Task,TT_Task,0,25-Mar-26,25-Mar-26,25-Mar-26,25-Mar-26,,C4068-C-2603_20260325.xer.128711465,TK_Complete,,C4068-C-2603_20260325.xer.226242293,A3730 - Rain Event (19 January 2026),,Rain Event (19 January 2026)
C4068-C-2603_20260325.xer.128711465,PR_FS,A3730,0,A3730 - Rain Event (19 January 2026),A3720,Claims for Extension of Time,Claims for Extension of Time,Internal Link,Claims for Extension of Time ? Claims for Extension of Time,,Not Driving,Valid,25/03/2026,25/03/2026,TK_Complete,TT_Task,TT_Task,0,25-Mar-26,25-Mar-26,25-Mar-26,25-Mar-26,,C4068-C-2603_20260325.xer.128711464,TK_Complete,,C4068-C-2603_20260325.xer.226242290,A3720 - Rain Event (15 & 16 January 2026),,Rain Event (15 & 16 January 2026)
C4068-C-2603_20260325.xer.128711274,PR_FS,622050,0,622050 - UZF Conformance - Fill 2,A3720,Construction,Claims for Extension of Time,Cross-WBS Link,Claims for Extension of Time ? Construction,,Not Driving,Valid,25/03/2026,25/03/2026,TK_Complete,TT_Task,TT_Task,0,25-Mar-26,25-Mar-26,25-Mar-26,25-Mar-26,,C4068-C-2603_20260325.xer.128711464,TK_Complete,,C4068-C-2603_20260325.xer.226242289,A3720 - Rain Event (15 & 16 January 2026),,Rain Event (15 & 16 January 2026)
